user_id,age,occupation,gender
25703,55,executive/managerial,M
77806,30,college/grad student,M
58806,30,sales/marketing,M
43993,25,college/grad student,M
104145,32,executive/managerial,M
80036,27,executive/managerial,M
75432,27,other or not specified,M
56099,28,scientist,M
64379,32,college/grad student,M
75035,46,clerical/admin,F
3121,33,college/grad student,M
48153,34,executive/managerial,M
95320,35,academic/educator,F
1867,30,college/grad student,M
32292,33,scientist,M
61798,32,executive/managerial,M
22455,32,programmer,M
61125,34,executive/managerial,M
31006,32,college/grad student,M
6805,27,college/grad student,M
70332,24,sales/marketing,M
36554,21,scientist,M
103173,30,sales/marketing,F
21106,27,sales/marketing,M
84752,39,writer,M
93270,26,college/grad student,F
88914,25,college/grad student,M
19792,31,college/grad student,F
32976,34,technician/engineer,M
82288,33,executive/managerial,M
60128,31,homemaker,M
14829,32,tradesman/craftsman,M
35545,26,college/grad student,F
19452,27,college/grad student,M
42301,55,executive/managerial,M
88950,35,self-employed,M
2901,28,college/grad student,M
54322,26,college/grad student,F
99061,26,college/grad student,M
91768,27,executive/managerial,M
86453,30,retired,M
84050,11,college/grad student,F
80503,27,college/grad student,M
26195,25,executive/managerial,M
88989,27,academic/educator,F
9337,27,executive/managerial,M
95207,30,executive/managerial,F
7092,25,executive/managerial,M
47191,32,self-employed,M
47280,26,college/grad student,M
60619,21,scientist,M
66803,27,other or not specified,F
24645,23,sales/marketing,M
22417,33,college/grad student,F
66257,28,clerical/admin,F
22792,25,self-employed,F
66583,31,college/grad student,M
69612,32,sales/marketing,M
77438,33,artist,M
69910,27,sales/marketing,M
99570,22,sales/marketing,M
43995,34,college/grad student,M
84640,30,college/grad student,M
43641,28,retired,M
34677,31,college/grad student,M
11006,22,college/grad student,M
83911,32,clerical/admin,M
93979,33,K-12 student,F
83333,26,K-12 student,M
42975,26,college/grad student,M
1746,30,homemaker,M
80929,52,executive/managerial,F
90711,34,executive/managerial,M
11444,27,tradesman/craftsman,M
28800,31,executive/managerial,M
42686,28,scientist,M
102520,28,college/grad student,M
73912,33,self-employed,M
38431,34,college/grad student,M
100666,25,self-employed,M
78435,30,college/grad student,M
44122,18,sales/marketing,M
85771,27,executive/managerial,M
91615,25,self-employed,M
54039,26,homemaker,F
58566,31,academic/educator,F
93492,28,other or not specified,M
40985,26,college/grad student,M
8751,30,sales/marketing,M
40503,28,scientist,M
33639,24,self-employed,F
11398,26,self-employed,F
96202,25,other or not specified,M
39272,31,college/grad student,F
5572,31,technician/engineer,M
57915,29,tradesman/craftsman,M
76118,42,artist,M
6880,31,sales/marketing,M
57251,28,sales/marketing,M
35693,34,scientist,M
6170,33,artist,F
58530,33,other or not specified,M
57598,18,sales/marketing,M
16207,25,college/grad student,M
48086,27,self-employed,M
32040,34,college/grad student,M
11430,44,academic/educator,F
84352,28,college/grad student,M
57988,27,other or not specified,M
102659,26,other or not specified,M
5415,31,sales/marketing,M
35552,24,college/grad student,M
25641,25,homemaker,M
63027,18,customer service,M
83949,30,sales/marketing,M
85449,28,other or not specified,F
101602,33,executive/managerial,M
59775,23,sales/marketing,M
40928,25,scientist,M
82626,18,scientist,M
51999,32,K-12 student,M
31609,30,executive/managerial,M
41447,28,sales/marketing,M
102658,32,sales/marketing,M
63623,26,sales/marketing,M
101324,32,college/grad student,M
17430,30,sales/marketing,M
101335,27,executive/managerial,M
4342,9,scientist,M
2888,25,executive/managerial,M
45267,28,sales/marketing,M
18427,32,executive/managerial,F
39571,29,college/grad student,M
15703,25,scientist,M
33703,26,college/grad student,F
88686,29,executive/managerial,M
66512,25,executive/managerial,M
23857,26,other or not specified,F
80400,25,college/grad student,M
14431,28,college/grad student,M
63897,32,scientist,M
96406,29,self-employed,F
27898,40,sales/marketing,M
82980,32,college/grad student,M
90631,26,executive/managerial,M
26126,27,college/grad student,M
8858,34,scientist,M
89226,25,other or not specified,M
95170,25,executive/managerial,M
74247,32,executive/managerial,M
36485,33,executive/managerial,M
48751,30,technician/engineer,M
101920,27,college/grad student,M
89091,32,executive/managerial,M
54742,29,scientist,M
63358,44,self-employed,F
41042,30,executive/managerial,M
33014,28,artist,M
91844,34,self-employed,M
47798,28,technician/engineer,M
95485,27,K-12 student,M
91600,28,college/grad student,M
46917,57,retired,F
28007,27,scientist,M
15092,29,sales/marketing,M
94283,31,sales/marketing,M
48629,28,college/grad student,M
95311,29,sales/marketing,M
32893,30,homemaker,M
79976,25,scientist,M
81313,29,executive/managerial,M
20992,44,executive/managerial,M
101732,26,clerical/admin,M
59207,25,self-employed,M
8884,30,executive/managerial,M
61381,33,college/grad student,M
24720,43,other or not specified,F
102617,32,technician/engineer,M
72898,31,executive/managerial,M
45011,24,sales/marketing,M
67171,34,college/grad student,M
85545,25,college/grad student,M
32384,50,academic/educator,F
24842,22,sales/marketing,M
9598,30,other or not specified,M
83227,68,retired,M
3942,31,homemaker,F
102565,31,sales/marketing,M
31392,25,self-employed,M
4729,31,executive/managerial,M
6656,30,college/grad student,M
83528,33,programmer,M
43151,29,college/grad student,M
29436,26,executive/managerial,M
20617,26,executive/managerial,F
71707,27,executive/managerial,M
2581,30,scientist,M
6370,34,college/grad student,F
79507,24,scientist,M
9137,20,programmer,M
28903,30,academic/educator,F
70264,18,K-12 student,M
22193,55,executive/managerial,M
34191,47,sales/marketing,M
6023,21,scientist,M
42233,25,college/grad student,F
81078,34,self-employed,F
94567,26,scientist,M
2190,30,sales/marketing,M
31968,30,college/grad student,M
82364,19,clerical/admin,F
97185,29,college/grad student,M
6750,22,scientist,M
87043,33,college/grad student,M
82963,30,college/grad student,M
31444,32,sales/marketing,M
5469,27,executive/managerial,M
94079,27,scientist,M
32532,39,academic/educator,F
48690,33,scientist,M
52606,18,K-12 student,F
19216,26,college/grad student,M
39054,34,self-employed,M
93948,33,college/grad student,M
13472,26,scientist,M
97663,30,college/grad student,F
89466,25,executive/managerial,M
62842,34,other or not specified,F
44161,26,college/grad student,F
64535,29,executive/managerial,M
64432,33,artist,F
24403,28,executive/managerial,M
90659,33,college/grad student,M
29136,29,college/grad student,M
76653,32,self-employed,F
28962,32,college/grad student,M
83141,34,other or not specified,M
75193,26,technician/engineer,M
50806,33,executive/managerial,M
30194,27,scientist,M
48599,27,scientist,M
332,27,self-employed,M
261,29,executive/managerial,M
7422,27,other or not specified,M
80462,30,sales/marketing,M
6396,25,executive/managerial,F
12756,33,sales/marketing,F
72119,28,K-12 student,F
102882,26,college/grad student,M
9006,34,sales/marketing,M
77308,29,other or not specified,F
75968,32,executive/managerial,M
75864,31,college/grad student,M
81862,32,college/grad student,M
7263,52,other or not specified,F
67019,27,scientist,M
10086,33,artist,F
10452,28,sales/marketing,M
63800,26,college/grad student,M
47364,28,college/grad student,M
38361,27,executive/managerial,M
89526,32,other or not specified,F
101345,25,sales/marketing,M
70910,32,executive/managerial,M
59452,32,college/grad student,M
18304,32,executive/managerial,M
41189,34,sales/marketing,M
77520,30,other or not specified,M
94525,29,academic/educator,F
94956,26,homemaker,M
74270,33,other or not specified,M
91001,25,college/grad student,M
31504,23,executive/managerial,M
17645,29,executive/managerial,M
1142,33,executive/managerial,M
21747,30,college/grad student,M
4369,55,academic/educator,F
80374,32,scientist,F
52257,26,college/grad student,M
68212,31,scientist,M
97867,73,retired,F
37348,19,K-12 student,M
70770,26,artist,M
63437,33,executive/managerial,F
20375,33,sales/marketing,M
51216,30,executive/managerial,M
39050,21,college/grad student,M
27949,23,lawyer,M
49633,31,academic/educator,F
57670,35,homemaker,F
17396,25,academic/educator,M
62739,30,scientist,M
19518,29,self-employed,F
89661,32,self-employed,M
1769,43,executive/managerial,M
92048,33,executive/managerial,M
96333,23,scientist,M
69646,31,self-employed,M
50700,21,sales/marketing,F
88680,32,executive/managerial,M
91949,28,scientist,M
24985,33,self-employed,M
20750,32,clerical/admin,M
23136,32,executive/managerial,M
103110,43,other or not specified,F
77030,32,self-employed,M
32846,33,executive/managerial,M
88693,33,college/grad student,F
102723,25,executive/managerial,M
30361,34,homemaker,M
91279,34,homemaker,F
91154,34,executive/managerial,M
27070,33,sales/marketing,M
28913,26,artist,M
46513,28,college/grad student,M
20600,70,college/grad student,F
85185,27,scientist,M
19623,34,sales/marketing,M
10671,30,college/grad student,F
102603,27,college/grad student,M
33266,35,academic/educator,M
99486,29,sales/marketing,M
12372,25,college/grad student,M
39653,33,college/grad student,M
92741,27,executive/managerial,M
68300,28,academic/educator,M
10645,34,scientist,M
53271,34,college/grad student,M
60606,31,other or not specified,M
1170,26,college/grad student,M
56319,44,executive/managerial,M
78351,29,technician/engineer,M
45869,29,college/grad student,M
77655,26,executive/managerial,M
17499,27,technician/engineer,M
5878,25,sales/marketing,M
52114,25,artist,M
90362,32,college/grad student,M
48504,47,executive/managerial,F
37723,31,college/grad student,M
98796,25,scientist,M
97743,30,college/grad student,M
27150,32,scientist,M
51000,25,college/grad student,M
49643,26,other or not specified,M
70857,34,farmer,F
61792,34,college/grad student,M
1067,33,college/grad student,M
58613,28,other or not specified,M
4906,34,college/grad student,F
58008,37,academic/educator,M
84217,28,other or not specified,M
96203,26,college/grad student,M
15789,27,sales/marketing,M
90467,27,homemaker,M
86186,25,sales/marketing,M
80676,34,college/grad student,M
43075,29,sales/marketing,M
19573,25,clerical/admin,F
54802,26,other or not specified,M
65653,30,other or not specified,M
64939,28,sales/marketing,M
87018,18,K-12 student,F
64961,42,clerical/admin,F
35466,36,college/grad student,F
74111,33,other or not specified,M
17701,33,college/grad student,M
28112,31,scientist,M
54340,35,executive/managerial,M
40630,42,other or not specified,M
88516,43,retired,M
53111,32,executive/managerial,M
100341,32,executive/managerial,F
34342,31,other or not specified,M
72707,8,K-12 student,F
9930,37,sales/marketing,M
45886,32,homemaker,M
87163,34,scientist,M
53249,32,college/grad student,M
41845,31,tradesman/craftsman,M
13,30,technician/engineer,M
34721,40,executive/managerial,F
90727,21,college/grad student,M
46468,29,self-employed,M
61962,26,other or not specified,M
12873,90,retired,F
70085,32,homemaker,M
31631,32,executive/managerial,M
27619,34,K-12 student,M
52281,27,college/grad student,M
13153,30,executive/managerial,M
70926,55,academic/educator,F
35568,26,executive/managerial,M
63439,29,other or not specified,M
59883,23,sales/marketing,M
89708,27,homemaker,M
1202,34,college/grad student,M
56633,67,doctor/health care,M
32841,29,scientist,M
20490,33,executive/managerial,M
67638,33,clerical/admin,F
97483,32,executive/managerial,M
5104,30,scientist,M
57124,32,sales/marketing,M
57509,30,scientist,M
44370,28,other or not specified,M
75551,30,executive/managerial,M
12272,25,sales/marketing,M
39446,31,scientist,M
41614,25,academic/educator,F
59013,28,executive/managerial,F
10319,33,other or not specified,M
12822,30,scientist,M
56545,31,sales/marketing,F
3588,26,scientist,M
78398,29,college/grad student,M
65944,32,executive/managerial,M
25670,28,other or not specified,M
40984,25,scientist,M
72057,29,executive/managerial,M
77003,32,customer service,M
64795,18,technician/engineer,M
16166,29,executive/managerial,M
42067,32,tradesman/craftsman,M
39685,34,college/grad student,M
35782,28,homemaker,M
3308,32,college/grad student,M
88193,27,college/grad student,M
52871,67,academic/educator,F
78043,33,college/grad student,M
105264,32,other or not specified,M
5149,32,homemaker,F
101457,30,self-employed,M
77935,27,sales/marketing,M
41869,26,college/grad student,M
69812,28,K-12 student,M
94662,26,executive/managerial,M
21666,29,executive/managerial,M
91045,32,scientist,M
19711,37,sales/marketing,M
37948,27,sales/marketing,M
57029,25,college/grad student,M
16515,32,executive/managerial,M
94976,42,writer,M
103468,32,executive/managerial,M
4253,27,sales/marketing,M
21604,25,sales/marketing,M
3945,27,college/grad student,F
31333,26,homemaker,F
32931,30,homemaker,F
38903,29,sales/marketing,M
7305,33,executive/managerial,M
81716,29,scientist,M
7567,30,retired,F
78795,29,self-employed,M
33024,25,scientist,F
71264,49,artist,M
23674,30,executive/managerial,M
76305,34,other or not specified,M
42777,22,sales/marketing,M
83514,26,executive/managerial,M
2671,32,self-employed,M
41513,35,academic/educator,M
51426,25,executive/managerial,M
11516,25,academic/educator,F
90266,28,college/grad student,M
93709,9,K-12 student,F
11699,26,self-employed,F
81242,25,tradesman/craftsman,M
98601,30,sales/marketing,M
69458,30,college/grad student,F
96949,28,executive/managerial,M
26706,26,scientist,F
14925,33,executive/managerial,M
73995,30,sales/marketing,M
71586,32,sales/marketing,M
19024,31,retired,F
67368,25,executive/managerial,M
59379,32,scientist,M
10732,30,self-employed,F
92209,31,scientist,M
43774,34,executive/managerial,M
94113,28,college/grad student,M
14841,31,college/grad student,M
2417,28,executive/managerial,M
96797,26,sales/marketing,M
78986,31,K-12 student,M
39399,27,executive/managerial,M
11946,25,executive/managerial,M
63845,26,executive/managerial,M
38567,30,executive/managerial,M
89152,50,scientist,M
28857,27,sales/marketing,M
58512,25,self-employed,F
89577,25,executive/managerial,F
42372,29,sales/marketing,M
9919,24,sales/marketing,M
90076,34,self-employed,M
19170,26,executive/managerial,M
54717,15,sales/marketing,F
49784,25,technician/engineer,M
29627,31,executive/managerial,M
18035,29,executive/managerial,M
59547,26,college/grad student,F
93107,32,executive/managerial,M
99923,27,scientist,M
84871,31,retired,M
4011,33,executive/managerial,M
16398,33,clerical/admin,M
9816,32,college/grad student,M
34831,31,scientist,M
49999,40,sales/marketing,M
24318,27,scientist,M
69041,26,college/grad student,M
69771,34,self-employed,M
35613,33,sales/marketing,M
55390,50,retired,F
11263,37,sales/marketing,M
4426,27,college/grad student,M
34039,32,college/grad student,M
89642,25,retired,M
66741,30,sales/marketing,M
32618,34,K-12 student,M
29415,41,technician/engineer,M
76730,30,college/grad student,F
90836,26,college/grad student,M
94016,34,sales/marketing,M
32322,29,college/grad student,M
53503,28,college/grad student,F
86704,89,retired,F
61812,30,other or not specified,F
31733,33,executive/managerial,M
101690,37,sales/marketing,M
79009,24,college/grad student,M
49543,28,self-employed,M
6330,34,executive/managerial,M
96060,32,scientist,M
51626,34,self-employed,M
21832,28,executive/managerial,M
43452,31,executive/managerial,M
44331,18,sales/marketing,M
18924,27,executive/managerial,M
79381,31,college/grad student,M
32488,32,executive/managerial,M
10195,32,other or not specified,M
101505,29,self-employed,M
55204,32,college/grad student,F
97031,33,college/grad student,M
41487,29,sales/marketing,M
55908,31,K-12 student,M
6321,30,executive/managerial,M
18331,52,scientist,M
63288,26,college/grad student,M
70006,32,executive/managerial,M
33220,31,scientist,M
73086,31,college/grad student,M
19895,29,college/grad student,M
39271,21,sales/marketing,F
85796,26,college/grad student,M
76739,36,executive/managerial,M
31951,30,college/grad student,M
76031,34,executive/managerial,M
39490,32,scientist,M
68047,52,academic/educator,M
83917,32,executive/managerial,F
62662,26,artist,M
31434,23,sales/marketing,F
48572,25,sales/marketing,M
72279,32,other or not specified,M
9953,27,sales/marketing,M
15193,32,scientist,M
38607,25,scientist,M
986,27,executive/managerial,M
544,25,other or not specified,M
1407,32,college/grad student,M
14943,33,scientist,M
60902,33,executive/managerial,M
102236,31,artist,M
79110,29,college/grad student,M
68589,33,college/grad student,M
18418,32,executive/managerial,M
1493,34,college/grad student,M
68845,28,college/grad student,M
94153,22,college/grad student,M
71088,18,sales/marketing,M
23281,29,self-employed,M
4864,26,scientist,M
61708,33,self-employed,M
3209,23,other or not specified,M
41187,29,college/grad student,M
15158,30,sales/marketing,M
85634,26,academic/educator,F
48187,40,sales/marketing,M
9210,58,other or not specified,M
13991,32,sales/marketing,M
48321,30,executive/managerial,M
73275,28,college/grad student,M
20677,30,executive/managerial,M
2181,34,college/grad student,M
31605,30,college/grad student,F
11783,29,executive/managerial,F
74619,31,college/grad student,M
82215,34,college/grad student,M
97074,28,college/grad student,F
84285,34,K-12 student,M
41396,28,scientist,F
16701,18,artist,M
2912,34,executive/managerial,M
65114,56,academic/educator,F
71125,33,college/grad student,M
18590,21,sales/marketing,M
80077,27,college/grad student,M
76385,30,programmer,M
97879,27,college/grad student,F
44904,30,executive/managerial,M
69038,21,sales/marketing,M
65227,26,doctor/health care,F
95158,32,executive/managerial,M
95150,25,executive/managerial,M
1342,29,programmer,M
64078,31,college/grad student,M
2445,25,scientist,M
1458,34,sales/marketing,M
93599,27,scientist,M
58515,34,scientist,M
16867,31,sales/marketing,M
100926,28,college/grad student,M
63605,30,artist,M
89153,32,customer service,M
69111,28,college/grad student,M
50975,29,sales/marketing,F
41418,25,executive/managerial,F
43072,30,executive/managerial,F
77451,25,sales/marketing,M
41149,26,retired,F
95081,32,scientist,M
91096,32,sales/marketing,M
168,27,scientist,M
3818,26,scientist,M
8926,34,executive/managerial,M
61592,19,homemaker,M
63420,33,executive/managerial,M
60046,29,scientist,M
8513,32,homemaker,F
5400,25,college/grad student,M
45192,35,executive/managerial,M
95165,32,other or not specified,F
92647,26,tradesman/craftsman,M
2465,33,self-employed,M
60452,25,college/grad student,M
41477,26,college/grad student,M
70568,25,college/grad student,M
69756,31,clerical/admin,M
31386,26,sales/marketing,M
103156,29,retired,F
14980,26,scientist,F
2201,32,self-employed,M
92467,29,other or not specified,F
90865,28,homemaker,M
72287,42,academic/educator,M
27454,24,sales/marketing,M
70202,32,executive/managerial,M
78709,43,scientist,F
16427,34,college/grad student,M
84736,30,executive/managerial,M
45095,57,executive/managerial,F
1446,29,sales/marketing,M
74578,64,other or not specified,M
54786,29,sales/marketing,M
54819,26,sales/marketing,M
83770,44,college/grad student,M
64962,29,tradesman/craftsman,M
85331,27,self-employed,M
60135,26,unemployed,M
87768,21,sales/marketing,M
24945,18,sales/marketing,M
34619,29,retired,F
88284,30,executive/managerial,M
68932,25,K-12 student,M
38160,43,clerical/admin,M
55317,29,sales/marketing,M
94388,33,college/grad student,F
80704,27,self-employed,F
20099,25,executive/managerial,M
26686,52,executive/managerial,M
75374,31,sales/marketing,M
41567,29,college/grad student,M
61956,26,college/grad student,M
56403,26,K-12 student,M
45965,37,self-employed,M
94978,34,executive/managerial,M
14283,27,executive/managerial,M
95094,31,executive/managerial,M
50142,72,other or not specified,M
17576,27,self-employed,M
98405,32,executive/managerial,M
89497,27,lawyer,M
60340,33,executive/managerial,M
53649,27,executive/managerial,M
34523,31,college/grad student,M
93365,20,clerical/admin,M
46913,29,self-employed,M
99004,31,sales/marketing,M
89912,25,executive/managerial,M
66111,30,self-employed,M
48432,29,other or not specified,M
73806,31,self-employed,M
32752,30,self-employed,M
14429,27,other or not specified,M
38637,31,college/grad student,F
34883,55,other or not specified,M
25550,31,executive/managerial,M
68931,31,self-employed,M
13902,20,other or not specified,M
24025,31,executive/managerial,M
77286,25,executive/managerial,M
27237,26,scientist,F
54206,30,scientist,M
13428,27,scientist,M
62015,21,K-12 student,M
61989,32,sales/marketing,M
24396,28,executive/managerial,M
93413,28,K-12 student,M
99612,21,college/grad student,M
36214,32,artist,M
10391,34,other or not specified,M
36176,27,clerical/admin,F
33978,31,scientist,M
34498,28,other or not specified,F
56174,26,sales/marketing,M
80001,34,executive/managerial,M
68818,38,artist,M
60231,27,sales/marketing,M
76709,23,college/grad student,M
68495,20,sales/marketing,M
88907,18,sales/marketing,M
100450,33,college/grad student,M
33339,33,college/grad student,F
13500,32,sales/marketing,M
3044,34,college/grad student,M
12783,28,artist,M
93907,30,college/grad student,M
46703,34,executive/managerial,M
81367,27,scientist,M
74551,26,scientist,F
52803,25,scientist,M
79847,29,scientist,M
42400,28,scientist,M
90645,32,scientist,M
62215,33,self-employed,M
36114,18,sales/marketing,F
74227,28,college/grad student,M
53887,25,college/grad student,M
61860,27,self-employed,M
30995,27,executive/managerial,M
43673,29,executive/managerial,M
91682,33,executive/managerial,M
103148,34,executive/managerial,M
13190,28,self-employed,M
76253,27,college/grad student,F
57173,28,executive/managerial,M
92978,26,college/grad student,M
29349,26,college/grad student,M
2038,26,artist,M
3270,31,other or not specified,F
87202,30,executive/managerial,M
81544,29,scientist,M
24981,25,sales/marketing,M
43619,63,retired,M
23571,42,sales/marketing,M
58666,30,artist,M
38412,30,college/grad student,F
37956,28,artist,M
27848,21,sales/marketing,M
49592,33,self-employed,F
81856,26,college/grad student,F
22258,32,executive/managerial,M
8061,29,college/grad student,M
70411,28,college/grad student,M
54250,31,homemaker,M
88298,21,K-12 student,M
81808,32,executive/managerial,M
31977,28,college/grad student,F
2937,28,sales/marketing,M
13723,34,college/grad student,M
97408,32,college/grad student,M
2210,28,sales/marketing,M
73309,32,scientist,M
101172,28,college/grad student,M
22343,25,college/grad student,F
30512,27,other or not specified,M
93307,34,sales/marketing,M
84034,21,college/grad student,F
31322,27,self-employed,M
14024,31,sales/marketing,M
102378,28,scientist,F
32049,30,college/grad student,F
103276,26,executive/managerial,M
19543,25,scientist,M
21589,30,executive/managerial,M
28631,39,academic/educator,M
33972,25,college/grad student,M
20895,42,self-employed,M
80510,28,scientist,M
29001,19,scientist,M
49752,31,college/grad student,F
35259,17,K-12 student,M
76045,26,scientist,M
12040,31,clerical/admin,M
31789,29,sales/marketing,M
43074,34,retired,M
93774,28,sales/marketing,M
34979,22,sales/marketing,M
93235,33,executive/managerial,M
22394,31,other or not specified,M
50392,39,other or not specified,M
54768,30,self-employed,F
84367,34,college/grad student,M
43340,44,academic/educator,M
37192,30,artist,F
1953,26,college/grad student,M
33165,33,executive/managerial,M
20808,25,technician/engineer,M
80100,32,college/grad student,M
94349,30,college/grad student,M
72382,28,college/grad student,F
89541,28,other or not specified,M
77070,53,artist,F
101608,31,other or not specified,M
34363,25,executive/managerial,M
46012,34,technician/engineer,M
94057,32,scientist,M
87292,77,executive/managerial,M
60567,31,other or not specified,M
94789,33,sales/marketing,M
22114,25,college/grad student,M
58138,25,executive/managerial,M
21175,30,executive/managerial,M
71389,25,college/grad student,F
2544,34,scientist,M
